,Store,DayOfWeek,Date,Customers,Open,Promo,StateHoliday,SchoolHoliday
196102,978,5,2015-02-06,1059,1,1,0,0
701547,998,5,2013-10-11,594,1,1,0,0
42659,290,2,2015-06-23,641,1,0,0,0
8318,514,5,2015-07-24,550,1,0,0,0
233538,504,6,2015-01-03,966,1,0,0,0
48469,525,4,2015-06-18,743,1,1,0,0
575723,54,5,2014-01-31,796,1,0,0,0
695756,782,3,2013-10-16,409,1,0,0,1
794475,266,5,2013-07-19,599,1,1,0,1
38051,142,6,2015-06-27,349,1,0,0,0
420238,669,5,2014-06-20,556,1,1,0,1
477459,1025,3,2014-04-30,1145,1,1,0,0
404280,642,6,2014-07-05,437,1,0,0,0
649339,80,2,2013-11-26,461,1,0,0,0
680151,787,3,2013-10-30,1338,1,0,0,1
242542,663,4,2014-12-25,0,0,0,c,1
454740,606,2,2014-05-20,713,1,1,0,0
138210,1066,1,2015-03-30,1322,1,1,0,1
431114,395,2,2014-06-10,541,1,0,0,1
626648,804,2,2013-12-17,528,1,1,0,0
540260,271,2,2014-03-04,1105,1,1,0,0
785348,59,6,2013-07-27,255,1,0,0,0
544546,97,5,2014-02-28,698,1,0,0,1
447137,808,2,2014-05-27,561,1,0,0,0
475899,580,4,2014-05-01,0,0,1,a,1
702052,388,4,2013-10-10,1218,1,1,0,0
530991,1037,4,2014-03-13,807,1,0,0,0
310387,177,1,2014-10-13,539,1,0,0,0
852197,8,2,2013-05-28,759,1,1,0,0
87299,330,4,2015-05-14,0,0,0,a,0
7543,854,6,2015-07-25,614,1,0,0,0
138342,83,7,2015-03-29,0,0,0,0,0
397240,48,6,2014-07-12,256,1,0,0,0
224087,1088,1,2015-01-12,578,1,1,0,0
827581,1037,4,2013-06-20,783,1,1,0,0
697551,347,1,2013-10-14,345,1,0,0,0
708126,887,6,2013-10-05,469,1,0,0,0
778689,90,5,2013-08-02,920,1,1,0,1
823100,1016,1,2013-06-24,356,1,0,0,0
739643,69,5,2013-09-06,1101,1,0,0,0
303899,245,1,2014-10-20,1255,1,1,0,1
562339,50,3,2014-02-12,267,1,0,0,0
646891,977,5,2013-11-29,468,1,0,0,0
158598,269,3,2015-03-11,1139,1,0,0,0
253644,519,6,2014-12-13,751,1,0,0,0
786820,416,5,2013-07-26,1075,1,0,0,1
367132,945,4,2014-08-14,436,1,0,0,1
627817,858,1,2013-12-16,590,1,1,0,0
202707,893,6,2015-01-31,814,1,0,0,0
113204,590,2,2015-04-21,287,1,0,0,0
216411,102,7,2015-01-18,0,0,0,0,0
212783,934,4,2015-01-22,595,1,0,0,0
244114,311,2,2014-12-23,968,1,0,0,1
479379,715,1,2014-04-28,1002,1,1,0,0
842558,404,4,2013-06-06,635,1,1,0,0
283276,182,2,2014-11-11,458,1,1,0,0
567883,19,5,2014-02-07,668,1,1,0,0
180477,963,5,2015-02-20,1032,1,1,0,1
471741,882,1,2014-05-05,963,1,1,0,0
677376,242,5,2013-11-01,336,1,0,0,0
737839,495,7,2013-09-08,0,0,0,0,0
157857,643,4,2015-03-12,920,1,0,0,0
